Date,AAPL,AMZN,BLK,GOOG,MSFT
2006-08-16,8.736945,27.950001,99.50859799999999,192.607269,19.027374
2006-08-15,8.540306,27.77,97.660004,189.254089,18.96575
2006-08-14,8.217713,26.530001000000002,94.990677,183.521378,18.827091
2006-08-11,8.180444,26.07,96.156624,183.059372,18.750335999999997
2006-08-10,8.234424,26.49,96.57079300000001,185.890961,18.773363
2006-08-09,8.172732,26.209999,95.197792,187.252106,18.758017000000002
2006-08-08,8.325673,26.360001,96.210289,189.268982,18.681257000000002
2006-08-07,8.637982000000001,26.780001000000002,97.146088,187.75384499999998,18.589153
2006-08-04,8.778071,27.290001,97.529617,185.71708700000002,18.642886999999998
2006-08-03,8.943867,26.690001000000002,98.41171999999999,186.482117,18.581484
2006-08-02,8.760078,26.09,97.567963,182.428482,18.650558
2006-08-01,8.634129,26.32,97.613976,186.541733,18.412632000000002
2006-07-31,8.734373,26.889999,99.071381,192.050888,18.466354
2006-07-28,8.429775,27.17,99.708023,192.805984,18.612179
2006-07-27,8.148311999999999,26.559998999999998,98.60347,189.964462,18.320532
2006-07-26,8.208718,26.26,98.219948,191.504456,18.704292000000002
2006-07-25,7.959386,33.59,100.38299599999999,193.421982,18.589153
2006-07-24,7.893839,34.310001,98.948647,194.186996,18.420309
2006-07-21,7.803876,33.189999,96.816261,193.794556,18.320532
2006-07-20,7.775599000000001,34.18,98.726212,192.30921899999998,17.537663000000002
2006-07-19,6.953056,34.48,100.413673,198.210831,17.959801000000002
2006-07-18,6.798830000000001,33.490002000000004,98.158585,200.222748,17.453241000000002
2006-07-17,6.730712,33.669998,103.612297,202.627106,17.253683
2006-07-14,6.512224,32.919998,102.001465,200.44628899999998,17.107861
2006-07-13,6.7152899999999995,33.73,104.187538,203.09407,17.084831
2006-07-12,6.806539999999999,34.630001,107.04096200000001,207.276871,17.37649
2006-07-11,7.152266,35.66,107.769646,210.908249,17.729542000000002
2006-07-10,7.068726,35.790001000000004,106.78018999999999,207.748795,18.036549
2006-07-07,7.120133999999999,36.110001000000004,106.496323,208.866531,17.883045000000003
2006-07-06,7.167689,36.799999,107.75430300000001,210.22767599999997,18.021194
2006-07-05,7.3257710000000005,37.110001000000004,106.63440700000001,209.368256,17.921421
2006-07-03,7.447867,38.610001000000004,107.869354,210.23263500000002,18.190048
2006-06-30,7.360472,38.68,106.74947399999999,208.31015,17.883045000000003
2006-06-29,7.578958999999999,38.52,105.077316,207.555054,18.013525
2006-06-28,7.199818,36.700001,102.576736,201.742859,17.775595000000003
2006-06-27,7.381035000000001,36.48,102.300636,199.860107,17.545345
2006-06-26,7.581532000000001,36.77,102.898895,200.80397,17.514641
2006-06-23,7.560967,36.549999,101.288139,201.121902,17.269035000000002
2006-06-22,7.657358,36.369999,100.919907,198.68275500000001,17.560688
2006-06-21,7.4363,36.650002,100.666809,199.765717,17.714197
2006-06-20,7.386177,35.48,97.606308,192.334045,17.315085999999997
2006-06-19,7.351475,35.07,97.560303,192.81591799999998,17.307413
2006-06-16,7.397742999999999,35.09,98.150909,194.087646,16.962032
2006-06-15,7.631653999999999,34.959998999999996,98.434715,194.236679,16.939009
2006-06-14,7.404167999999999,33.68,93.970551,190.953033,16.793179000000002
2006-06-13,7.496706,33.470001,94.798935,192.011154,16.509197
2006-06-12,7.3257710000000005,33.599998,98.480743,189.537247,16.662701000000002
2006-06-09,7.613658999999999,33.779999,101.79438,192.03599499999999,16.823879
2006-06-08,7.809015,33.549999,101.525925,195.379242,16.969711
2006-06-07,7.526264,33.77,101.257439,192.00618,16.915982999999997
2006-06-06,7.675352,33.41,101.617958,193.73494,16.985056
2006-06-05,7.711336999999999,33.490002000000004,103.92675799999999,186.010178,17.269035000000002
2006-06-02,7.924685,34.759997999999996,104.03418,188.494034,17.468588
2006-06-01,7.99023,35.07,102.084213,190.07376100000002,17.514641
2006-05-31,7.681777,34.610001000000004,102.466553,184.708649,17.384165
2006-05-30,7.868133,34.639998999999996,101.610138,184.76826499999999,17.76792
2006-05-26,8.167589999999999,36.07,104.989998,189.442856,18.205397
2006-05-25,8.267837,35.630001,104.362953,190.257553,18.220748999999998
2006-05-24,8.140603,35.189999,103.621239,189.393173,18.036549
2006-05-23,8.116183,33.759997999999996,101.510681,186.576492,17.491617
2006-05-22,8.145743,34.830002,99.95841999999999,184.27645900000002,17.560688
2006-05-19,8.290973,33.939999,101.281265,183.814468,17.315085999999997
2006-05-18,8.120037,32.610001000000004,100.791916,184.296326,17.52232
2006-05-17,8.387362,31.610001,103.919434,186.03999299999998,17.445564
2006-05-16,8.351379,32.759997999999996,106.634041,184.450333,17.660465
2006-05-15,8.712524,32.779999,105.915222,186.884491,17.76792
2006-05-12,8.70096,32.73,106.970482,185.856186,17.714197
2006-05-11,8.758796,33.529999,107.773399,192.249603,17.752423999999998
2006-05-10,9.073674,34.16,108.67570500000001,200.187973,18.172915
2006-05-09,9.128938,34.84,108.56869499999999,203.079163,18.058229
2006-05-08,9.239469999999999,34.689999,108.95866399999998,196.114471,18.142332
2006-05-05,9.239469999999999,35.040001000000004,115.274902,195.876022,18.195848
2006-05-04,9.141791,34.470001,112.147301,196.099564,17.920616
2006-05-03,9.143073,33.959998999999996,110.847435,195.811432,17.714197
2006-05-02,9.204763999999999,34.380001,110.877975,196.124405,18.356401
2006-05-01,8.94515,34.59,109.23396299999999,198.161148,18.570467
2006-04-28,9.046682,35.209998999999996,115.87893700000001,207.619629,18.463435999999998
2006-04-27,8.914307,35.740002000000004,117.36241100000001,208.657883,20.833481
2006-04-26,8.758796,35.790001000000004,116.918892,211.608688,20.718803
2006-04-25,8.504319,35.549999,112.965546,212.19984399999998,20.72645
2006-04-24,8.450339999999999,35.790001000000004,113.279091,218.82673599999998,20.72645
2006-04-21,8.616132,36.029999,115.31307199999999,217.137726,20.75703
2006-04-20,8.691964,36.34,116.230728,206.159134,20.665289
2006-04-19,8.437489,36.889998999999996,119.52649699999999,203.923676,20.665289
2006-04-18,8.510746000000001,36.279999,112.78965,200.813904,20.810545
2006-04-17,8.32953,35.27,109.47859199999999,202.095566,20.520031
2006-04-13,8.542875,36.619999,109.348648,199.780624,20.695869000000002
2006-04-12,8.573723,36.130001,110.79385400000001,203.15368700000002,20.795256
2006-04-11,8.738233000000001,36.060001,108.897461,203.506393,20.741735000000002
2006-04-10,8.825626,36.610001000000004,113.15673100000001,206.844681,20.864061
2006-04-07,8.969571,37.09,112.835526,201.7677,20.833481
2006-04-06,9.155930999999999,38.509997999999996,112.912025,204.261475,21.070488
2006-04-05,8.637982000000001,37.34,112.338531,202.676788,21.208101
2006-04-04,7.861708999999999,36.77,110.954453,200.863571,21.131645000000002
